molecule_chembl_id,canonical_smiles,standard_value
CHEMBL3104626,O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1ccccc1N1CC2(CCNCC2)c2ccccc21,
CHEMBL3105201,CC(C)(C)CN1CCC2(C1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1ccccc12,
CHEMBL3105200,CC(C)(C)CN1CCCC2(C1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1ccccc12,
CHEMBL3105196,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1cccnc12,
CHEMBL3103636,O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1ccccc1N1CC2(CCCC2)c2ccccc21,
CHEMBL3103634,O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1ccccc1N1CC2(CC2)c2ccccc21,
CHEMBL3103625,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2ccccc21,
CHEMBL3103628,O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1ccccc1N1CCCCc2ccccc21,
CHEMBL3105198,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1ncccc12,503.0
CHEMBL3105197,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1ccncc12,346.0
CHEMBL3104630,COC(=O)N1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1ccccc12,54200.0
CHEMBL3104633,CC(C)N1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1ccccc12,29200.0
CHEMBL2333770,CC(C)(C)c1ccccc1Oc1ncccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1,29.0
CHEMBL3104635,O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1ccccc1N1CC2(CCN(Cc3ccccc3)CC2)c2ccccc21,18600.0
CHEMBL3103627,CC1(C)CCN(c2ncccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2ccccc21,11100.0
CHEMBL3105195,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1cnccc12,10.7
CHEMBL3103635,O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1ccccc1N1CC2(CCC2)c2ccccc21,10.5
CHEMBL3105199,CC(C)(C)CN1CCC2(CC1)CCN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1ccccc12,9.9
CHEMBL3104634,CC(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1ccccc12,8800.0
CHEMBL3104625,O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1ccccc1N1CC2(CCN(C(=O)OCc3ccccc3)CC2)c2ccccc21,5.9
CHEMBL3104636,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1ccccc12,4900.0
CHEMBL3104624,O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1ccccc1N1CC2(CCCCC2)c2ccccc21,2.2
CHEMBL3102866,CC1(C)CCN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2ccccc21,2200.0
CHEMBL3103633,CN1CCN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2ccccc21,10000.0
CHEMBL3103632,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2ccccc2O1,10000.0
CHEMBL3103631,O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1ccccc1N1CCOc2ccccc21,10000.0
CHEMBL3103630,CC1CCN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2ccccc21,10000.0
CHEMBL3103629,O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1ccccc1N1CCCc2ccccc21,10000.0
CHEMBL3103626,CC1(C)CN(c2ncccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2ccccc21,10000.0
CHEMBL3263056,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1nc3ccc(Cl)nc3s1)c1c(O)ccc(Cl)c12,0.12
CHEMBL3263057,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1Nc1nnc(-c3ccccc3)s1)c1c(O)ccc(C(F)(F)F)c12,0.19
CHEMBL3263058,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1Nc1nc(-c3ccccc3)ns1)c1c(O)ccc(Cl)c12,6.4
CHEMBL3263059,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1Nc1nnc(-c3ccccc3)o1)c1c(O)ccc(Cl)c12,49.0
CHEMBL3263060,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1Nc1cc(-c3ccccc3)on1)c1c(O)ccc(Cl)c12,
CHEMBL3263061,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1Nc1nc(-c3ccccc3)cs1)c1c(O)ccc(Cl)c12,54.0
CHEMBL3263062,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1Nc1ncc(-c3ccccc3)s1)c1c(O)ccc(Cl)c12,2.3
CHEMBL3263063,Cc1ccc(-c2ccc(Nc3ccccc3N3CC4(CCN(CC(C)(C)C)CC4)c4c(Cl)ccc(O)c43)nc2)cc1,
CHEMBL3263064,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1Nc1ccc(-c3ccccc3)nn1)c1c(O)ccc(Cl)c12,
CHEMBL3263065,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1Nc1cnc(-c3ccccc3)cn1)c1c(O)ccc(Cl)c12,
CHEMBL3263066,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1Nc1nnc(-c3ccc(C(F)(F)F)cc3)s1)c1c(O)ccc(C(F)(F)F)c12,0.08
CHEMBL3263067,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1Nc1nnc(-c3ccc(C(C)(C)C)cc3)s1)c1c(O)ccc(C(F)(F)F)c12,0.21
CHEMBL3263068,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1Nc1nnc(-c3ccc(C(C)(C)C)cc3)s1)c1c(O)ccc(C#N)c12,0.34
CHEMBL3263069,COC(=O)c1ccc(O)c2c1C1(CCN(CC(C)(C)C)CC1)CN2c1ccccc1Nc1nnc(-c2ccc(C(C)(C)C)cc2)s1,0.32
CHEMBL3263070,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1Nc1nnc(-c3ccc(OC(F)(F)F)cc3)s1)c1c(O)ccc(F)c12,2.7
CHEMBL3263071,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1Nc1nnc(-c3ccc(OC(F)(F)F)cc3)s1)c1c(O)ccc(Cl)c12,0.63
CHEMBL3263072,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1Nc1nnc(-c3ccccc3Cl)s1)c1c(O)ccc(Cl)c12,9.8
CHEMBL3263073,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1Nc1nnc(-c3cccc(Cl)c3)s1)c1c(O)ccc(Cl)c12,3.6
CHEMBL3263074,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1Nc1nnc(-c3ccc(Cl)cc3)s1)c1c(O)ccc(Cl)c12,1.6
CHEMBL3263075,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1Nc1nnc(-c3cnccn3)s1)c1c(O)ccc(Cl)c12,1.5
CHEMBL3263076,Cc1cc(-c2nnc(Nc3ccccc3N3CC4(CCN(CC(C)(C)C)CC4)c4c(Cl)ccc(O)c43)s2)n(C)n1,0.2
CHEMBL3287039,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1ccc(O)cc12,150.0
CHEMBL3287048,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1cccc(O)c12,150.0
CHEMBL3287040,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1nc3ccc(Cl)cc3s1)c1c(O)ccc(Cl)c12,0.17
CHEMBL3287049,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1nc3ccc(F)cc3s1)c1c(O)ccc(Cl)c12,0.06
CHEMBL3287050,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1csc(Cl)n1)c1c(O)ccc(Cl)c12,0.03
CHEMBL3287051,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(C(F)(F)F)cc1)c1c(O)ccc(Cl)c12,0.08
